home_ownership,annual_inc,purpose,inq_last_6mths,open_acc
OWN,35000,debt_consolidation,1,6
RENT,20000,debt_consolidation,1,7
MORTGAGE,80000,credit_card,0,8
RENT,36000,other,1,6
RENT,43000,credit_card,1,7
MORTGAGE,59000,other,0,10
MORTGAGE,49152,home_improvement,1,23
RENT,24000,credit_card,0,7
RENT,75000,debt_consolidation,0,7
OWN,45000,major_purchase,0,6
RENT,39870,home_improvement,2,8
RENT,60000,credit_card,0,11
RENT,80000,credit_card,1,8
RENT,45000,other,1,4
RENT,48000,debt_consolidation,0,8
MORTGAGE,54000,debt_consolidation,1,7
RENT,48000,debt_consolidation,1,10
RENT,37500,debt_consolidation,1,9
RENT,39000,debt_consolidation,0,6
RENT,60000,major_purchase,1,6
MORTGAGE,75000,small_business,0,14
OWN,65500,debt_consolidation,3,9
RENT,42000,debt_consolidation,0,4
RENT,55000,credit_card,1,4
RENT,68000,debt_consolidation,0,11
MORTGAGE,86923,debt_consolidation,0,8
RENT,68000,debt_consolidation,0,8
RENT,92000,debt_consolidation,0,12
MORTGAGE,55000,major_purchase,2,15
RENT,65000,debt_consolidation,1,6
RENT,50000,credit_card,0,18
RENT,51000,debt_consolidation,0,11
MORTGAGE,43000,debt_consolidation,1,6
RENT,30000,debt_consolidation,1,11
RENT,180000,debt_consolidation,0,8
RENT,65000,debt_consolidation,0,7
MORTGAGE,125000,debt_consolidation,0,18
MORTGAGE,72000,debt_consolidation,0,8
RENT,21600,other,0,2
RENT,46000,vacation,1,15
RENT,47000,credit_card,0,14
MORTGAGE,135800,credit_card,2,11
RENT,56791,debt_consolidation,0,10
OWN,73440,debt_consolidation,1,8
RENT,93000,credit_card,0,9
RENT,45000,credit_card,2,7
OWN,33000,debt_consolidation,1,9
RENT,55000,debt_consolidation,0,8
RENT,85000,credit_card,0,17
RENT,46000,debt_consolidation,1,9
MORTGAGE,48000,debt_consolidation,0,8
RENT,50000,credit_card,0,8
RENT,35000,moving,1,10
RENT,50000,debt_consolidation,1,7
MORTGAGE,96000,credit_card,0,12
RENT,32000,debt_consolidation,3,14
RENT,39420,other,3,15
OWN,15000,major_purchase,0,7
RENT,48000,debt_consolidation,0,11
RENT,81500,debt_consolidation,0,7
RENT,48000,credit_card,3,11
RENT,60400,wedding,1,3
RENT,50000,credit_card,2,14
MORTGAGE,72000,credit_card,0,7
MORTGAGE,140000,debt_consolidation,0,4
RENT,72000,credit_card,2,7
RENT,68000,debt_consolidation,0,9
MORTGAGE,72000,credit_card,1,12
RENT,84000,credit_card,3,12
RENT,75000,credit_card,1,10
OWN,60000,debt_consolidation,0,7
MORTGAGE,42000,small_business,1,9
RENT,115000,major_purchase,0,4
OWN,77000,debt_consolidation,0,19
OWN,72800,debt_consolidation,1,11
RENT,75000,debt_consolidation,0,13
RENT,46443.36,debt_consolidation,0,14
MORTGAGE,64000,debt_consolidation,2,9
MORTGAGE,57000,vacation,0,5
RENT,61234,debt_consolidation,0,13
MORTGAGE,26453,debt_consolidation,2,10
MORTGAGE,75000,debt_consolidation,0,9
RENT,24000,credit_card,1,9
RENT,48226,credit_card,0,12
RENT,29000,credit_card,0,11
RENT,40000,debt_consolidation,0,11
MORTGAGE,64800,car,0,6
OWN,277000,other,0,4
RENT,80856,debt_consolidation,1,6
MORTGAGE,65004,other,0,4
RENT,110000,credit_card,2,10
RENT,220000,small_business,2,15
MORTGAGE,75000,debt_consolidation,3,9
RENT,120000,debt_consolidation,0,22
MORTGAGE,75000,debt_consolidation,0,6
MORTGAGE,75000,debt_consolidation,1,10
RENT,12000,wedding,2,15
RENT,52000,credit_card,1,15
MORTGAGE,130000,medical,1,8
MORTGAGE,60000,home_improvement,0,11
MORTGAGE,95000,debt_consolidation,3,14
RENT,53000,other,0,6
MORTGAGE,66000,car,0,7
RENT,77000,debt_consolidation,0,7
RENT,162000,debt_consolidation,1,17
MORTGAGE,76800,home_improvement,0,15
RENT,48000,debt_consolidation,0,7
MORTGAGE,60000,debt_consolidation,1,14
MORTGAGE,33000,small_business,1,11
RENT,143000,wedding,1,11
RENT,40000,other,2,11
RENT,60000,small_business,2,11
RENT,27840,debt_consolidation,0,7
MORTGAGE,150000,debt_consolidation,2,10
MORTGAGE,46000,debt_consolidation,2,8
MORTGAGE,100500,debt_consolidation,1,9
MORTGAGE,191000,house,1,16
MORTGAGE,72000,car,0,10
RENT,10000,medical,0,3
RENT,54000,debt_consolidation,0,9
MORTGAGE,150000,home_improvement,0,12
MORTGAGE,100000,debt_consolidation,1,5
MORTGAGE,110000,debt_consolidation,1,17
RENT,73000,debt_consolidation,0,9
MORTGAGE,90000,debt_consolidation,0,10
MORTGAGE,80000,debt_consolidation,0,12
RENT,30000,credit_card,0,6
MORTGAGE,95000,debt_consolidation,0,8
RENT,60000,debt_consolidation,1,6
MORTGAGE,120000,debt_consolidation,1,5
MORTGAGE,80000,debt_consolidation,2,9
RENT,54000,credit_card,1,7
RENT,106000,debt_consolidation,2,9
RENT,80000,home_improvement,3,10
MORTGAGE,35000,debt_consolidation,4,4
RENT,43500,wedding,0,8
RENT,35000,wedding,0,4
MORTGAGE,60000,debt_consolidation,2,15
MORTGAGE,58000,credit_card,1,11
MORTGAGE,101657,debt_consolidation,2,18
MORTGAGE,80000,wedding,0,7
RENT,55200,car,0,7
OWN,57000,debt_consolidation,0,6
RENT,49000,debt_consolidation,1,11
MORTGAGE,80000,debt_consolidation,2,8
MORTGAGE,42000,debt_consolidation,0,6
MORTGAGE,62000,debt_consolidation,1,4
RENT,37947,credit_card,0,12
RENT,53000,major_purchase,2,3
RENT,40000,debt_consolidation,2,6
RENT,18000,moving,0,5
RENT,88000,debt_consolidation,0,16
RENT,84000,debt_consolidation,0,15
RENT,40000,debt_consolidation,3,12
MORTGAGE,120000,credit_card,1,12
MORTGAGE,55000,debt_consolidation,0,10
MORTGAGE,180000,debt_consolidation,0,18
MORTGAGE,118000,home_improvement,3,8
MORTGAGE,110000,wedding,2,20
MORTGAGE,102000,small_business,0,5
RENT,24000,debt_consolidation,0,5
RENT,66000,debt_consolidation,0,9
MORTGAGE,46000,small_business,0,7
RENT,55000,debt_consolidation,2,7
RENT,200000,debt_consolidation,1,29
MORTGAGE,125000,debt_consolidation,0,7
MORTGAGE,38000,debt_consolidation,3,32
MORTGAGE,49200,debt_consolidation,1,9
RENT,50000,other,2,10
RENT,70000,debt_consolidation,3,14
MORTGAGE,46500,debt_consolidation,1,11
MORTGAGE,60000,debt_consolidation,0,7
OWN,29120,credit_card,0,6
RENT,38200,home_improvement,0,25
RENT,38400,credit_card,2,6
MORTGAGE,126000,debt_consolidation,0,10
RENT,31200,major_purchase,2,5
RENT,64548,other,0,11
RENT,120000,other,0,5
RENT,75000,debt_consolidation,0,5
MORTGAGE,25000,small_business,0,8
RENT,31000,other,3,7
MORTGAGE,64000,credit_card,1,9
RENT,78000,debt_consolidation,3,5
RENT,12000,credit_card,0,6
RENT,165000,debt_consolidation,0,5
RENT,50026,debt_consolidation,1,8
MORTGAGE,38000,debt_consolidation,0,11
RENT,63000,debt_consolidation,1,13
RENT,80896.8,debt_consolidation,0,10
RENT,125000,wedding,1,15
RENT,50000,debt_consolidation,1,8
MORTGAGE,49000,debt_consolidation,1,7
RENT,15648,credit_card,0,10
MORTGAGE,55000,credit_card,1,17
RENT,122500,debt_consolidation,2,8
RENT,54000,other,1,6
RENT,59000,debt_consolidation,0,11
MORTGAGE,80000,credit_card,1,5
RENT,36000,debt_consolidation,1,13
RENT,42682,debt_consolidation,0,9
RENT,52538,debt_consolidation,0,12
RENT,76000,debt_consolidation,1,6
RENT,59000,debt_consolidation,1,14
MORTGAGE,68232,home_improvement,0,26
OWN,15000,debt_consolidation,0,16
MORTGAGE,65000,debt_consolidation,5,9
RENT,42000,debt_consolidation,0,8
MORTGAGE,75000,car,1,6
RENT,125000,debt_consolidation,2,15
RENT,65000,debt_consolidation,0,9
RENT,18000,vacation,0,2
MORTGAGE,130000,debt_consolidation,1,15
MORTGAGE,50000,home_improvement,5,17
MORTGAGE,100800,debt_consolidation,1,12
RENT,50000,debt_consolidation,1,12
RENT,55000,credit_card,1,11
RENT,74000,debt_consolidation,2,6
MORTGAGE,61000,debt_consolidation,0,8
MORTGAGE,88000,home_improvement,2,11
RENT,50000,other,1,6
OWN,60000,other,2,5
RENT,60000,wedding,1,7
MORTGAGE,75000,house,3,5
MORTGAGE,124800,car,3,14
MORTGAGE,28776,home_improvement,3,5
MORTGAGE,70116,other,0,8
MORTGAGE,76800,medical,2,10
MORTGAGE,54000,car,0,12
MORTGAGE,96000,debt_consolidation,0,13
MORTGAGE,200000,major_purchase,1,13
RENT,50000,other,0,5
MORTGAGE,62208,debt_consolidation,2,8
OWN,60000,debt_consolidation,1,9
MORTGAGE,60000,other,0,4
RENT,35000,debt_consolidation,1,9
MORTGAGE,56033,credit_card,1,15
MORTGAGE,45000,major_purchase,0,6
RENT,160000,other,0,14
RENT,175000,credit_card,0,5
RENT,77000,debt_consolidation,2,16
MORTGAGE,80000,debt_consolidation,2,14
OWN,50000,debt_consolidation,0,11
MORTGAGE,115000,home_improvement,1,21
RENT,42000,debt_consolidation,1,5
RENT,37200,other,0,18
MORTGAGE,104000,debt_consolidation,2,15
RENT,70000,debt_consolidation,0,12
MORTGAGE,74000,debt_consolidation,0,8
RENT,68000,debt_consolidation,2,6
MORTGAGE,53000,debt_consolidation,0,12
MORTGAGE,150000,credit_card,1,23
RENT,34992,debt_consolidation,3,15
MORTGAGE,120000,credit_card,0,16
MORTGAGE,47000,debt_consolidation,1,12
MORTGAGE,84000,credit_card,2,6
RENT,42000,debt_consolidation,2,13
RENT,27000,small_business,0,17
MORTGAGE,90000,debt_consolidation,0,13
OWN,39000,debt_consolidation,0,4
RENT,65000,small_business,1,4
MORTGAGE,294000,small_business,1,6
RENT,33000,debt_consolidation,0,9
MORTGAGE,42000,medical,0,7
MORTGAGE,80000,credit_card,0,7
RENT,30000,medical,0,6
RENT,68736,other,1,5
MORTGAGE,74000,debt_consolidation,1,12
MORTGAGE,105687.5,debt_consolidation,1,13
RENT,14898,debt_consolidation,1,2
OWN,106870,credit_card,1,11
RENT,33600,credit_card,0,12
RENT,60000,debt_consolidation,1,9
MORTGAGE,78840,debt_consolidation,0,10
RENT,86000,wedding,1,6
MORTGAGE,69000,debt_consolidation,3,12
OWN,70000,debt_consolidation,0,18
MORTGAGE,74603,debt_consolidation,1,22
RENT,37000,debt_consolidation,0,7
MORTGAGE,97000,vacation,1,10
RENT,18000,debt_consolidation,2,4
MORTGAGE,36100,credit_card,0,3
MORTGAGE,60000,debt_consolidation,2,18
OWN,65000,debt_consolidation,3,11
MORTGAGE,140000,small_business,0,24
RENT,51000,moving,1,21
RENT,30000,other,0,8
MORTGAGE,132000,other,6,7
MORTGAGE,19200,debt_consolidation,1,3
MORTGAGE,66000,other,1,11
MORTGAGE,16800,vacation,0,4
OWN,50000,debt_consolidation,0,4
MORTGAGE,135000,debt_consolidation,0,6
RENT,35000,credit_card,1,4
RENT,60000,debt_consolidation,3,8
MORTGAGE,42000,debt_consolidation,3,14
MORTGAGE,102000,debt_consolidation,0,19
RENT,42000,medical,0,9
RENT,58700,debt_consolidation,0,4
RENT,60000,debt_consolidation,0,13
MORTGAGE,150000,small_business,1,19
MORTGAGE,69200,debt_consolidation,4,10
RENT,28800,car,1,3
RENT,15600,major_purchase,1,8
MORTGAGE,200000,debt_consolidation,2,11
MORTGAGE,66936,debt_consolidation,4,9
MORTGAGE,41000,major_purchase,0,6
MORTGAGE,90000,car,1,7
MORTGAGE,48000,debt_consolidation,0,7
MORTGAGE,58000,moving,1,7
MORTGAGE,60000,debt_consolidation,0,14
RENT,31200,house,2,3
MORTGAGE,75000,major_purchase,0,11
MORTGAGE,68808,debt_consolidation,0,22
RENT,60000,debt_consolidation,3,15
OWN,40000,small_business,1,11
MORTGAGE,135000,debt_consolidation,0,5
RENT,69000,debt_consolidation,0,9
MORTGAGE,32000,other,3,11
RENT,40000,debt_consolidation,2,3
MORTGAGE,500000,credit_card,3,8
MORTGAGE,300000,other,2,5
MORTGAGE,25500,home_improvement,0,5
MORTGAGE,57188,debt_consolidation,1,9
RENT,56400,debt_consolidation,1,4
MORTGAGE,56400,debt_consolidation,0,11
RENT,43000,other,3,2
MORTGAGE,90111,debt_consolidation,0,12
MORTGAGE,93000,home_improvement,0,9
RENT,44000,credit_card,0,9
MORTGAGE,83004,home_improvement,0,7
MORTGAGE,110000,debt_consolidation,0,10
MORTGAGE,80000,debt_consolidation,0,6
MORTGAGE,110000,debt_consolidation,0,13
MORTGAGE,75000,house,1,7
MORTGAGE,55000,credit_card,0,11
RENT,70596,other,2,11
RENT,86000,debt_consolidation,3,12
RENT,35000,debt_consolidation,0,8
MORTGAGE,33000,debt_consolidation,1,3
MORTGAGE,31000,other,1,9
OWN,95000,major_purchase,1,12
MORTGAGE,25500,credit_card,2,7
MORTGAGE,60000,debt_consolidation,0,12
RENT,32000,house,0,6
MORTGAGE,54000,home_improvement,3,9
RENT,36000,debt_consolidation,3,5
RENT,46900,debt_consolidation,2,6
RENT,155000,debt_consolidation,1,7
RENT,61368,debt_consolidation,2,12
RENT,70000,debt_consolidation,1,9
MORTGAGE,38000,debt_consolidation,2,9
RENT,63000,debt_consolidation,2,11
MORTGAGE,55000,house,0,6
RENT,92000,debt_consolidation,0,8
RENT,77000,debt_consolidation,3,3
RENT,108000,small_business,0,4
RENT,49152,debt_consolidation,0,10
MORTGAGE,81600,debt_consolidation,1,17
MORTGAGE,116000,home_improvement,2,18
RENT,124000,credit_card,0,3
RENT,42000,credit_card,0,11
MORTGAGE,68000,home_improvement,1,6
MORTGAGE,75000,debt_consolidation,1,16
MORTGAGE,106000,home_improvement,0,8
MORTGAGE,25000,small_business,0,7
MORTGAGE,88000,debt_consolidation,0,9
RENT,50000,credit_card,1,12
RENT,32500,moving,2,2
RENT,54000,debt_consolidation,0,3
RENT,57000,moving,3,13
MORTGAGE,100995,debt_consolidation,0,10
OWN,22800,other,1,8
RENT,18000,other,1,2
RENT,35000,credit_card,0,7
MORTGAGE,55000,debt_consolidation,0,2
OWN,60000,car,2,4
MORTGAGE,68000,credit_card,0,13
RENT,42000,car,0,6
MORTGAGE,43200,debt_consolidation,2,6
MORTGAGE,55000,debt_consolidation,3,11
RENT,45000,debt_consolidation,1,6
RENT,70900,debt_consolidation,0,7
OWN,82000,debt_consolidation,2,7
RENT,88000,debt_consolidation,3,10
MORTGAGE,130000,major_purchase,4,11
MORTGAGE,130900,medical,2,10
RENT,21300,other,1,13
OWN,115000,debt_consolidation,2,7
MORTGAGE,45000,debt_consolidation,0,16
MORTGAGE,120000,debt_consolidation,0,6
MORTGAGE,50000,debt_consolidation,0,16
RENT,28800,small_business,2,7
RENT,25200,credit_card,0,5
OWN,33000,house,0,6
RENT,52500,credit_card,2,5
MORTGAGE,97000,small_business,2,6
RENT,54000,debt_consolidation,4,17
RENT,40800,medical,0,6
MORTGAGE,54000,car,0,10
RENT,250000,debt_consolidation,1,6
RENT,52000,debt_consolidation,1,9
MORTGAGE,74000,major_purchase,2,10
MORTGAGE,33000,debt_consolidation,2,12
MORTGAGE,105000,credit_card,0,12
OWN,72000,debt_consolidation,0,12
MORTGAGE,43400,credit_card,0,18
RENT,65000,wedding,0,5
MORTGAGE,110888,home_improvement,1,15
RENT,81000,debt_consolidation,0,8
RENT,20485,credit_card,2,6
RENT,72000,credit_card,0,7
RENT,38500,debt_consolidation,0,7
MORTGAGE,100000,debt_consolidation,0,8
RENT,45000,other,2,11
MORTGAGE,48000,medical,2,11
MORTGAGE,57600,debt_consolidation,3,8
RENT,83200,debt_consolidation,1,10
RENT,50000,wedding,3,6
RENT,54000,credit_card,0,10
MORTGAGE,65004,other,0,9
MORTGAGE,60000,major_purchase,0,13
RENT,61000,debt_consolidation,0,7
MORTGAGE,180000,credit_card,0,20
MORTGAGE,125000,home_improvement,2,9
MORTGAGE,70000,credit_card,0,7
RENT,115154.16,other,0,13
RENT,24000,major_purchase,2,7
RENT,19200,debt_consolidation,0,6
MORTGAGE,80000,debt_consolidation,0,6
MORTGAGE,60000,debt_consolidation,2,17
MORTGAGE,47689.56,home_improvement,1,7
MORTGAGE,64140,debt_consolidation,3,10
MORTGAGE,109000,credit_card,0,4
RENT,45000,vacation,0,6
RENT,57000,debt_consolidation,1,7
RENT,57996,other,0,8
RENT,41000,renewable_energy,0,3
MORTGAGE,62000,debt_consolidation,0,14
MORTGAGE,84996,debt_consolidation,3,11
MORTGAGE,110000,debt_consolidation,2,7
OWN,60000,debt_consolidation,3,13
RENT,49000,wedding,1,10
RENT,112140,debt_consolidation,2,12
RENT,40000,small_business,0,5
RENT,74400,debt_consolidation,0,5
MORTGAGE,62000,wedding,0,18
MORTGAGE,43392,debt_consolidation,0,9
MORTGAGE,53724,debt_consolidation,0,8
MORTGAGE,73000,home_improvement,0,8
RENT,92700,credit_card,1,16
RENT,24000,debt_consolidation,0,4
MORTGAGE,106000,debt_consolidation,0,16
MORTGAGE,51600,credit_card,1,14
MORTGAGE,38720.64,debt_consolidation,0,7
MORTGAGE,275000,other,0,9
RENT,40000,other,1,18
RENT,50000,debt_consolidation,2,9
OWN,60000,debt_consolidation,0,6
MORTGAGE,50000,debt_consolidation,2,7
MORTGAGE,44000,debt_consolidation,1,12
MORTGAGE,86964,other,0,11
MORTGAGE,50000,medical,0,23
RENT,32200,major_purchase,2,4
RENT,25000,debt_consolidation,0,3
MORTGAGE,50000,small_business,1,7
MORTGAGE,64800,medical,0,14
RENT,55000,moving,0,9
RENT,123000,home_improvement,0,7
MORTGAGE,120000,debt_consolidation,0,7
RENT,15889.2,debt_consolidation,3,10
MORTGAGE,86400,debt_consolidation,2,6
MORTGAGE,43200,debt_consolidation,0,5
RENT,79500,debt_consolidation,2,7
RENT,91000,debt_consolidation,2,12
RENT,206000,debt_consolidation,1,11
MORTGAGE,48000,other,2,5
RENT,33000,medical,0,3
OWN,47000,other,2,9
RENT,35000,debt_consolidation,1,7
RENT,125004,other,0,10
RENT,145000,other,0,9
MORTGAGE,65000,debt_consolidation,1,21
OWN,24000,house,3,7
MORTGAGE,154000,debt_consolidation,3,8
MORTGAGE,55000,small_business,1,5
RENT,79968,car,0,9
MORTGAGE,60984,credit_card,1,9
OWN,140000,renewable_energy,2,8
OWN,32000,major_purchase,1,10
OWN,24000,vacation,1,7
MORTGAGE,100000,debt_consolidation,0,13
MORTGAGE,40000,small_business,0,9
MORTGAGE,79000,debt_consolidation,2,5
MORTGAGE,41000,debt_consolidation,1,14
RENT,32340,debt_consolidation,0,5
MORTGAGE,70000,debt_consolidation,0,5
MORTGAGE,72000,credit_card,0,12
MORTGAGE,48000,debt_consolidation,0,4
MORTGAGE,47500,debt_consolidation,1,9
MORTGAGE,36000,debt_consolidation,0,9
MORTGAGE,200000,debt_consolidation,0,12
MORTGAGE,126000,debt_consolidation,0,7
RENT,82060.56,wedding,0,15
MORTGAGE,132000,home_improvement,0,10
RENT,88000,debt_consolidation,4,5
MORTGAGE,81000,debt_consolidation,0,10
MORTGAGE,95000,debt_consolidation,0,13
RENT,75000,small_business,3,4
MORTGAGE,78000,credit_card,0,17
MORTGAGE,48000,debt_consolidation,0,7
MORTGAGE,100000,small_business,0,9
MORTGAGE,31000,credit_card,3,12
RENT,75000,debt_consolidation,2,9
RENT,56000,debt_consolidation,0,10
RENT,82350,debt_consolidation,0,6
RENT,61200,debt_consolidation,0,7
MORTGAGE,57000,small_business,1,4
MORTGAGE,73000,credit_card,0,13
MORTGAGE,67000,debt_consolidation,1,7
